Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Roc Partners,$9.5 billion,,,Indirect,Investment,,,Low - Limited agriculture focus,0,,,Chris Hadley (CEO & Senior Partner),,No,,Global AgInvesting Asia,"November 3, 2025","Australia, Asia-Pacific",,Australia (Sydney),,Equity,"Asia-Pacific private markets specialist - $9.5B AUM across fund investments, co-investments, and direct investments. 25+ years investing in APAC. Winner of Global Agribusiness Fund Manager of the Year 2023 & 2024. Strong focus on food and agriculture sector. Makes 150+ commitments across buyout, growth capital, venture capital and special situations. Recently closed $500M buyout fund and launched $1B Evergreen fund. Suitable as co-investor or fund partner for agriculture/aquaculture infrastructure. Prefers $50M-$150M tickets in established or growth-stage companies. Strong institutional LP base (Australian super funds, pension funds).","Agriculture, Aquaculture, Food Systems",,Private Equity,"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,None identified - Australian PE firm with limited agriculture focus. No public record of aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,Growth/Buyout,Initial Contact,"Food & agriculture, buyouts, growth capital","Private Markets (PE, VC, Agribusiness)",,,,,rocp.com.au
TB Innovations Ltd.,,,,Indirect,Networking,,,"None - Technology consulting firm, not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United Kingdom,,,Technology consulting - Technology and innovation consulting firm. Not an investor. Provides consulting services to companies on technology and innovation strategy.,"Agriculture, Aquaculture, Food Systems",,Consulting Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Consulting firm providing advisory services. Does not make direct investments; may have advised on aquaculture transactions,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Teneo Partners Japan Ltd.,,,,Indirect,Networking,,,"None - Management consulting firm, not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Management consulting - Management consulting and advisory firm. Not a direct investor. Provides strategic advisory services to companies and investors.,"Agriculture, Aquaculture, Food Systems",,Consulting Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Advisory/consulting firm (Teneo). Provides strategic advisory services; not an investor,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,https://www.teneo.com
SOMPO Asset Management,,,,Indirect,Investment,,,Low - Conservative LP/co-investor only,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Institutional asset management - Japanese asset manager managing institutional portfolios. Invests as LP in funds or through co-investments. Conservative approach. Not a direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,Limited - Asset management arm of SOMPO Holdings (Japanese insurance). May have indirect agriculture exposure via institutional allocations,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Teraform,,,,Indirect,Investment,,,"Low - US regenerative agriculture CEA operator attending GAI Asia, likely seeking investment for own projects rather than investing in others. Develops passive climate-controlled greenhouses with integrated renewable energy and water systems. Potential technical partnership for greenhouse/controlled environment expertise if Al-Birk considers complementary CEA vegetable production. Could provide technology/design services but unlikely to be financial co-investor as operating company seeking capital.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United States (Colorado),,,"Regenerative agriculture platform - Terraform pioneers next-generation large-scale regenerative controlled environment agriculture (CEA) with passive climate-controlled greenhouses. Integrated renewable energy production and water treatment systems. Focuses on sustainable food, power, and water production. This appears to be an OPERATING COMPANY/TECHNOLOGY PROVIDER, not an investment fund. Develops and operates agricultural facilities rather than investing in other projects.","Agriculture, Aquaculture, Food Systems",,Agricultural Technology Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,"None - Agricultural technology operating company. Likely crop/horticulture tech focus; not an investor, no aquaculture involvement",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Regenerative CEA, renewable energy",,,,,
Solum Partners,$1.5 billion,,,Indirect,Investment,,,Medium - Real estate/farmland focus,0,,,Derek Lister (Partner),,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,"United States (Boston, MA)",,,"Agriculture real assets fund manager - Spun out from Harvard Management Company in 2020. $1.5B AUM across 6 countries managing vertically integrated food and agriculture opportunities. Owns one of largest US olive oil producers and top global avocado growers. Focus on sustainable and responsible investing with hands-on operational approach. Invests in farmland acquisitions and operational agriculture companies. Not aquaculture focused - specializes in permanent crops (olives, avocados, almonds). Strong on sustainability and regenerative agriculture principles. May consider aquaculture as part of broader agriculture portfolio.","Agriculture, Aquaculture, Food Systems",,Agricultural Investment Fund,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,None identified - Agricultural investment fund focused on farmland and real estate. No public record of aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,"Permanent crops (olives, avocados, almonds), sustainable farmland",Agriculture Real Assets,,,,,
SBI Okasan Asset Management,,,,Indirect,Investment,,,"Low - Conservative Japanese asset manager; LP/fund approach, not direct projects",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,Institutional asset management - Japanese asset manager managing institutional portfolios. Invests as LP in funds or through co-investments. Conservative approach. Not a direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Japanese asset manager (SBI Securities + Okasan Securities JV). May have agriculture fund exposure but no confirmed aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
SEIRYU Asset Management Ltd.,,,,Indirect,Investment,,,"Low - Conservative Japanese institutional LP, not direct project investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,Institutional asset management - Japanese asset manager managing institutional portfolios. Invests as LP in funds or through co-investments. Conservative approach. Not a direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Japanese asset manager attending GAI Asia. May have agriculture allocations but no confirmed aquaculture track record,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Prime Value Asset Management,,,,Indirect,Investment,,,"Low - Conservative institutional LP, not direct project investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,Institutional asset management - Japanese asset manager managing institutional portfolios. Invests as LP in funds or through co-investments. Conservative approach. Not a direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Australian asset manager. May have indirect agriculture exposure via Australian equities but no confirmed aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Meros Consulting,,,,Indirect,Networking,,,"Medium - Tokyo management consulting firm attending GAI Asia to find projects for their institutional clients. Can facilitate introductions to Japanese pension funds, insurance companies, and asset managers exploring agriculture investments. Strategic advisory services for structuring and execution. Not direct co-investor but valuable for accessing conservative Japanese institutional capital.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,Management consulting - Management consulting firm. Not an investor. Provides strategic advisory and consulting services to companies and investors.,"Agriculture, Aquaculture, Food Systems",,Consulting Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Warm Lead,,,,None - Consulting firm providing advisory services. Does not make direct investments; may have advised on aquaculture transactions,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Mizuho Securities,,,,Indirect,Investment,,,"Medium - Major Japanese securities firm (Mizuho Financial Group) attending GAI Asia to arrange agriculture financing. Can structure equity private placements, debt underwriting, project finance syndications, and cross-border capital raising. Access to Japanese institutional investors, corporate strategic investors, and international capital markets. Not direct co-investor but critical for large-scale capital raising ($50M+) and debt financing from Japanese institutions.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,"Securities brokerage - Major Japanese securities firm. Provides brokerage, underwriting, and capital markets services. Not a direct investor. May help arrange financing or securities placements.","Agriculture, Aquaculture, Food Systems",,Brokerage/Securities Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Japanese securities firm. Facilitates capital markets transactions; not a direct investor but may have arranged aquaculture financing,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3647
"Mitsui & Co., Ltd.",,,,Indirect,Investment,,,High - Major trading company (sogo shosha) with greenfield JV capability; strategic partner for supply chain and market access,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Strategic acquisitions & greenfield JVs - Major sogo shosha (trading company) model combining M&A with new project development. Invests in both established operations and new greenfield projects through JVs. Active in multiple sectors including agriculture.,"Agriculture, Aquaculture, Food Systems",,Trading Company/Strategic,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Likely - Major Japanese trading house (sogo shosha) with global food/agriculture portfolio. Trading houses often invest in aquaculture for supply chain integration; details not public,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3648
Mitsui Fudosan,,,,Indirect,Investment,,,Low - Real estate focused; may invest in facilities but not core aquaculture operations,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Real estate development & investment - Major Japanese real estate company. Primarily develops and manages real estate. May invest in agricultural real estate or facilities. Not a typical project investor.,"Agriculture, Aquaculture, Food Systems",,Real Estate Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Japanese real estate company. Focus on property development, not agriculture or aquaculture investments",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3649
"Fuyo General Lease Co., Ltd.",,,,Indirect,Investment,,,Medium - Equipment leasing/financing provider,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025","Japan, Asia",,Japan (Tokyo),,,Equipment leasing - Japanese leasing company providing equipment and asset financing. Provides leasing and financing for equipment and infrastructure. Not an equity investor. May provide lease financing for projects.,"Agriculture, Aquaculture, Food Systems",,Leasing Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Warm Lead,,,,Possible - Japanese leasing company. May have provided equipment leasing for aquaculture operations but no equity investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Equipment Leasing (cross-sector),,,,,3650
Eaton Partners,$68B+ raised historically,,,Indirect,Networking,,,"High - World-class placement agent ($68B+ raised historically, Stifel subsidiary) attending GAI Asia to find opportunities for institutional LPs. 60+ professionals across North America, Europe, Asia. Can facilitate introductions to pension funds, endowments, sovereign wealth funds, and family offices seeking agriculture/aquaculture co-investment opportunities. Excellent credibility and track record. Not direct co-investor but premier gateway to institutional capital and can help structure SPV fundraising strategy to attract blue-chip LPs.",0,,,Jeff Eaton,Global Co-Head & Managing Director,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United States,,,"Fund placement agent and advisory - Eaton Partners (founded 1983, now subsidiary of Stifel Financial Corp) is one of world's largest placement agents. Raised $68B+ across 89 funds. 60+ professionals across North America, Europe, Asia. Raises institutional capital for investment managers across private equity, real assets, real estate, hedge funds. NOT a direct investor - intermediary helping fund managers raise capital from institutional investors. May facilitate connections between projects and investors.","Agriculture, Aquaculture, Food Systems",,Placement Agent/Advisory,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Placement agent/advisory firm connecting LPs to funds. Does not make direct investments; facilitates capital raising,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Fund placement and advisory,,,,,
Nikko Asset Management,$580 billion+ (as Amova Asset Management),,,Indirect,Investment,,,Medium - Institutional co-investor,0,,,Takumi Shibata (President & CEO),,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,"Japanese institutional asset manager - Rebranded as Amova Asset Management in September 2025. Part of Sumitomo Mitsui Trust Holdings. Manages portfolios for institutional clients across public and private markets. Asia specialist with focus on Japanese, Greater China, and Asian equity/fixed income strategies. Conservative institutional approach - invests as LP in funds or through co-investments rather than direct project investment. Strong ESG integration. If attended agriculture conference, may have dedicated agriculture allocation but primarily fund-of-funds approach. Not a direct investor in new aquaculture SPVs.","Agriculture, Aquaculture, Food Systems",,Asset Manager,"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,"Limited - Japanese institutional asset manager. May have indirect exposure via agriculture or alternative asset funds, but no direct aquaculture investments identified",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,"Asian equities, fixed income, multi-asset",Public & Private Markets (institutional),,,,,nikkoam.com
Nomura Asset Management,$770B+ (¥100T+),,,Indirect,Investment,,,Medium - Large institutional co-investor,0,,,Kentaro Okuda,President and Group CEO,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,"Global asset manager - Nomura Asset Management is the investment management division of Nomura Holdings. ¥100T+ AUM (October 2025). Recently acquired Macquarie's US and European public asset management business for $1.8B, adding $180B AUM. Manages retail and institutional assets across equity, fixed income, multi-asset, and alternatives. Focus on Japanese institutional investors with growing global capabilities. Conservative institutional allocator rather than direct project investor. For aquaculture SPV: Would invest through fund structures or as LP, not direct equity. Requires fund manager intermediary.","Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,"Limited - Japanese institutional asset manager (Nomura Group). May have indirect exposure via agriculture or ESG funds, no direct aquaculture investments identified",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Myoon LLC,,,,Indirect,Investment,,,"Medium - Japan-based entity attending GAI Asia suggests active agriculture investment interest. Limited public information available. Attendance at expensive institutional investor conference indicates either: (1) direct investor with agriculture mandate, (2) corporate development/strategic investment arm, or (3) advisory/intermediary role. Requires follow-up to determine investment approach, ticket size, and co-investment capacity. Worth pursuing given conference attendance signals serious interest.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,Requires desk research - limited information available. Organization name suggests possible LLC/operating entity.,"Agriculture, Aquaculture, Food Systems",,Unknown,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,Unknown - Limited information available. Conference attendance suggests agriculture sector interest but track record unclear,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Norinchukin Research Institute,,,,Indirect,Investment,,,"Medium - Research institute of Norinchukin Bank (Japan's largest agricultural bank, major farmland investor). Attending GAI Asia to conduct due diligence and sector research for parent bank's investment decisions. Can facilitate introductions to Norinchukin Bank's investment team and provide credibility through third-party research validation. Not direct co-investor but critical gateway to Norinchukin's agriculture investment platform and Japanese agricultural cooperative capital.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,Agricultural economics research institute affiliated with Norinchukin Bank. Does not invest in projects - provides research and analysis services only.,"Agriculture, Aquaculture, Food Systems",,Research Institute,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Research institute affiliated with Norinchukin Bank. Conducts agriculture/fisheries research; not an investor,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Morgan Stanley MUFG Securities,,,,Indirect,Investment,,,High - Can arrange financing and capital raising,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Securities brokerage and investment banking JV between Morgan Stanley and MUFG. Provides capital markets services, M&A advisory, and securities trading. Not a direct investor in new projects - could potentially arrange financing or capital raising.","Agriculture, Aquaculture, Food Systems",,Securities Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Warm Lead,,,,Limited - Securities JV between Morgan Stanley and MUFG. Capital markets intermediary; not direct investor but may facilitate aquaculture financing,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Norinchukin Zenkyoren Asset Management,,,,Indirect,Investment,,,Medium - JV of agricultural cooperatives; may have mandate to invest member funds in agriculture projects,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Joint venture asset manager between Norinchukin Bank and Zenkyoren (agricultural cooperatives). If attended agriculture conference, may have mandate to invest cooperative member funds in agriculture projects. Typically invests as co-investor or through funds.","Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Japanese asset manager (Norinchukin Bank + agricultural cooperatives). May have indirect exposure via Japanese agriculture/fisheries funds,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Mulgowie,,,,Indirect,Investment,,,"None - Family-owned farming business (grower), not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Australia,,,"Agricultural operator - Mulgowie Farming Company is one of Australia's largest growers of fresh sweet corn and beans, a family-owned farming business, not an investment fund. They grow, pack and distribute vegetables. Not a fit for investment—they are a farming company, not an investor.","Agriculture, Aquaculture, Food Systems",,Agricultural Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Australian agricultural operating company. Likely crop/livestock focus; not an investor, no aquaculture involvement",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,https://mulgowie.com.au
"Greener Co., Ltd.",,,,Indirect,Investment,,,"Medium - Japanese company attending GAI Asia suggests agriculture sector interest. Limited information but conference attendance indicates either: (1) agriculture operating company seeking strategic partnerships/JVs, (2) corporate development arm evaluating investments, or (3) food/agriculture corporate with M&A mandate. Japanese companies at AgInvesting often explore overseas agriculture investments for food security or supply chain integration. Requires follow-up to determine investment vs. partnership interest.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,"Japanese operating company - likely agriculture/food sector operator, not a direct investor. May have corporate development arm.","Agriculture, Aquaculture, Food Systems",,Unknown,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,Unknown - Limited information. Name and conference attendance suggest potential agriculture interest but track record unclear,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Unknown - Limited information,,,,,
Franklin Group,,,,Indirect,Investment,,,"Medium - Japan-based entity attending GAI Asia indicates agriculture investment interest. Generic name requires clarification but conference attendance is strong signal. Could be: (1) family office with agriculture allocation, (2) asset manager with agriculture fund, (3) trading company subsidiary, or (4) agricultural investment platform. Japanese entities at AgInvesting typically represent serious institutional capital. Requires follow-up to determine entity type, investment approach, and ticket size.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,Requires desk research - organization name too generic to determine investment approach without additional context.,"Agriculture, Aquaculture, Food Systems",,Unknown,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Unknown - Limited information available. Conference attendance suggests interest but track record unclear,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Unknown - Insufficient information,,,,,
Frontier Agriculture Corp,,,,Indirect,Investment,,,"None - Agricultural services company (agronomy/grain marketing), not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United Kingdom,,,"Agricultural supply/services company - Frontier Agriculture is the UK's leading crop production and grain marketing business (joint venture between Cargill and Associated British Foods). They provide agronomy services, not investment capital. Not an investor in new projects.","Agriculture, Aquaculture, Food Systems",,Agricultural Services Company,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Agricultural services company (likely grain/crop trading), not an investor. No aquaculture involvement",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Crop Production, Grain Marketing (not investor)",,,,,https://frontierag.co.uk
"Hamada Kagaku Co., Ltd.",,,,Indirect,Investment,,,"Medium - Japanese chemical/industrial company attending GAI Asia suggests corporate development or strategic investment interest in agriculture. Many Japanese industrials have CVC arms investing in food security, agriculture technology, and supply chain. Attendance indicates potential for: (1) strategic JV partnership, (2) corporate venture investment, (3) offtake/supply agreements with equity participation. Requires follow-up to identify decision maker in corporate development or strategic investment group.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan,,Japan,,,"Japanese chemical/industrial company - operating company, not investor. May have corporate venture or strategic investment arm.","Agriculture, Aquaculture, Food Systems",,Unknown,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,Unknown - Japanese company with limited information. Conference attendance suggests interest but unclear if investor or operator,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Heritage Fund Management,,,,Indirect,Investment,,,"Medium - Japan-based asset manager attending GAI Asia indicates agriculture investment mandate. Limited public information but conference attendance suggests either: (1) agriculture fund manager, (2) institutional asset manager with agriculture allocation, or (3) family office platform. Japanese asset managers at AgInvesting typically manage institutional capital. Requires follow-up to determine AUM, investment approach, and ticket size. Conference attendance is strong positive signal for co-investment interest.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,"Asset management firm. Limited public information available. If attended conference, may have agriculture investment mandate. Requires further research to determine investment approach.","Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,Unknown - Japanese asset manager with limited public information. Track record unclear but conference attendance suggests sector interest,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
JICA,,,,Indirect,Investment,,,Medium - Development finance institution for infrastructure in emerging markets; good fit for large-scale aquaculture with development impact,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Japan's official development agency providing ODA (Official Development Assistance) for infrastructure projects globally. Funds new infrastructure and development projects in emerging markets through grants, loans, and technical cooperation. Suitable for large-scale aquaculture infrastructure aligned with development goals. Not commercial equity investor.","Agriculture, Aquaculture, Food Systems",,Development Finance Institution,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"Extensive - Japanese development agency financing agriculture/fisheries projects globally. Has funded aquaculture projects across Asia, Africa, Pacific islands (tilapia, shrimp, mariculture)",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3651
International Finance Corporation,,,,Indirect,Investment,,,High - IFC invests in greenfield aquaculture projects globally; excellent fit for new SPVs in emerging markets,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United States (Washington DC),,,"World Bank Group member focused exclusively on private sector development. Invests in greenfield projects and new infrastructure in emerging markets including aquaculture, agriculture, and food security. Recent investments: $100m green fertilizer plant Paraguay, aquaculture projects globally. Excellent fit for new SPVs in developing countries.","Agriculture, Aquaculture, Food Systems",,Development Finance Institution,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"Extensive - IFC (World Bank Group) has financed numerous aquaculture projects globally: shrimp (SE Asia), tilapia (Africa), salmon (Chile). Strong aquaculture track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3652
Laguna Bay,$750 million+ (A$1.1B),,,Indirect,Investment,,,High - Agriculture fund manager with institutional backing,0,,,Matthew Beattie (CFO),,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Australia (Brisbane),,,"Australian food & agri fund manager - Founded 2010, one of Australia's longest standing agri fund managers. Full-service fund management and direct investment platform specializing in Australasian food and agriculture. Manages Laguna Bay Agricultural Fund I ($280M closed 2016) and Fund II (A$750M target). Major investors include Washington State Investment Board (A$350M commitment), Development Bank of Japan, Sumitomo Mitsui Trust Bank. Research-driven, value-based investment strategy focused on scalable and sustainable food businesses. Invests in farmland (cropping, livestock) and food production platforms. Portfolio includes 63 properties across five states. Own-and-operate model with long-term tenant partners. Strong institutional LP base. Suitable for co-investment in agriculture platforms.","Agriculture, Aquaculture, Food Systems",,Agricultural Investment Fund Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,Limited - Agricultural investment fund manager attending GAI Asia. Name suggests water/bay focus but likely farmland investor; no confirmed aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,"Farmland, cropping, livestock, food platforms",Food & Agriculture (Australasian),,,,,https://lagunabay.com
Japan Food Studies College,,,,Indirect,Investment,,,"Low - Vocational college focused on culinary/food education. Smaller institution than major universities, so endowment likely limited. However, attending GAI Asia suggests potential interest in agriculture investments for endowment or educational partnerships with revenue-sharing models. Educational institutions value food security and sustainable agriculture. May consider small co-investment for educational/research collaboration benefits. Worth exploring if seeking Japanese institutional anchor with educational mission alignment.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,"Educational institution - Vocational college offering culinary and food education programs in Japan. Not an investor. Attendees at agriculture conferences are likely representing the institution for educational partnerships or student placement, not investment purposes.","Agriculture, Aquaculture, Food Systems",,Educational Institution,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,"None - Vocational culinary/food education college. Educational institution, not an investor. No investment track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
MCP Asset Management,,,,Indirect,Investment,,,"Medium - Tokyo asset manager attending GAI Asia indicates agriculture investment mandate. Japanese asset managers at institutional investor conferences typically represent pension fund capital, insurance company mandates, or institutional separate accounts. Requires follow-up to determine: (1) AUM and agriculture allocation, (2) investment approach (direct, fund-of-funds, co-investment), (3) ticket size, and (4) geographic/sector preferences. Conference attendance is positive signal for institutional co-investment interest.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Asset management firm. Limited public information available. If attended conference, may have agriculture investment mandate. Requires further research to determine investment approach.","Agriculture, Aquaculture, Food Systems",,Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Japanese asset manager attending GAI Asia. May have agriculture fund allocations but no confirmed aquaculture investments,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
MURC,,,,Indirect,Networking,,,"None - Think tank/consulting firm, not an investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Mitsubishi UFJ Research and Consulting - think tank and consulting firm. Provides research, economic analysis, and consulting services. Does not invest in projects.","Agriculture, Aquaculture, Food Systems",,Consulting Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Japanese consulting/research firm (likely Mitsubishi UFJ Research & Consulting). Provides advisory services, not an investor",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,3653
